t	Dynamometr	EMG
3.83	29.5759	-0.249329
3.835	29.5759	0.219116
3.84	29.5759	-0.895691
3.845	29.541	0.118713
3.85	29.5236	-0.582581
3.855	29.4713	1.47064
3.86	29.4538	-0.440369
3.865	29.4538	0.614929
3.87	29.4364	0.641479
3.875	29.4189	-2.13867
3.88	29.4015	1.68213
3.885	29.3666	-2.25739
3.89	29.3143	0.339966
3.895	29.2794	0.653687
3.9	29.2271	0.000610352
3.905	29.1922	-0.212402
3.91	29.1922	-1.76971
3.915	29.1922	1.73859
3.92	29.2097	0.458374
3.925	29.2097	-0.362244
3.93	29.2097	-0.923157
3.935	29.2097	-2.03949
3.94	29.1748	0.584106
3.945	29.1574	0.386047
3.95	29.1225	0.794373
3.955	29.1225	-0.58075
3.96	29.1225	-1.04675
3.965	29.1225	0.892334
3.97	29.1051	0.553894
3.975	29.1051	-0.526123
3.98	29.1051	-0.326233
3.985	29.1225	-0.506592
3.99	29.1225	-2.52563
3.995	29.1051	-0.0799561
4	29.0702	1.69037
4.005	29.0527	0.17334
4.01	29.0353	-0.750427
4.015	29.0004	-0.971069
4.02	28.983	-1.04523
4.025	28.983	-0.0933838
4.03	28.983	-0.622253
4.035	28.983	0.302734
4.04	28.983	-0.496521
4.045	28.9655	0.19928
4.05	28.9481	-0.761108
4.055	28.9307	-0.296326
4.06	28.9132	0.246582
4.065	28.9132	-0.9375
4.07	28.9132	1.53656
4.075	28.8958	-0.0689697
4.08	28.8783	0.28656
4.085	28.8435	-0.258179
4.09	28.826	-0.831909
4.095	28.826	0.319824
4.1	28.826	-0.41626
4.105	28.826	-1.00342
4.11	28.826	1.49872
4.115	28.826	-0.256958
4.12	28.8086	1.29517
4.125	28.8086	-0.0744629
4.13	28.826	1.25671
4.135	28.826	-1.36047
4.14	28.826	0.324707
4.145	28.8086	1.58783
4.15	28.7737	0.643921
4.155	28.7563	-0.349426
4.16	28.7388	-1.0849
4.165	28.7388	1.94916
4.17	28.7388	0.554199
4.175	28.7388	-0.868835
4.18	28.7214	-0.422058
4.185	28.7214	1.30737
4.19	28.7214	-0.52948
4.195	28.7214	-0.636902
4.2	28.7214	-0.209045
4.205	28.704	0.677185
4.21	28.6865	-0.181274
4.215	28.6516	-1.3092
4.22	28.5993	-0.644226
4.225	28.5645	0.961609
4.23	28.547	-0.143127
4.235	28.5121	1.57379
4.24	28.5121	-0.502014
4.245	28.5296	0.352783
4.25	28.547	0.321655
4.255	28.5645	-0.101318
4.26	28.5993	-0.218506
4.265	28.6168	-0.549622
4.27	28.6516	-1.13037
4.275	28.6516	1.67358
4.28	28.6516	-0.176086
4.285	28.6516	-1.11725
4.29	28.6516	0.570374
4.295	28.6691	-0.305176
4.3	28.6865	-1.08734
4.305	28.704	0.52124
4.31	28.704	-0.163269
4.315	28.704	-0.356445
4.32	28.704	-0.537109
4.325	28.6865	0.538025
4.33	28.6865	0.820007
4.335	28.6865	-0.0323486
4.34	28.6865	1.2854
4.345	28.6865	-0.0717163
4.35	28.6865	0.819092
4.355	28.6691	0.499268
4.36	28.6691	-1.14166
4.365	28.6691	-0.412903
4.37	28.6516	-0.154114
4.375	28.6342	-1.75323
4.38	28.5993	0.222473
4.385	28.547	1.32446
4.39	28.5296	0.418701
4.395	28.5121	0.437927
4.4	28.5121	-1.25671
4.405	28.5121	-0.309143
4.41	28.5121	0.739746
4.415	28.5121	0.911255
4.42	28.4947	-1.1972
4.425	28.4773	0.654907
4.43	28.4773	0.0112915
4.435	28.4598	-1.11053
4.44	28.4598	-1.0376
4.445	28.4598	0.890503
4.45	28.4598	0.782776
4.455	28.4773	0.561829
4.46	28.4773	-1.94427
4.465	28.4773	1.16882
4.47	28.4598	1.27686
4.475	28.4598	-0.621033
4.48	28.4773	0.0985718
4.485	28.4947	-1.27167
4.49	28.5121	-0.192566
4.495	28.5296	-0.227966
4.5	28.5296	0.360413
4.505	28.5296	0.24353
4.51	28.4947	-1.42151
4.515	28.4773	0.210571
4.52	28.4773	1.92047
4.525	28.4773	0.231628
4.53	28.4947	-1.76697
4.535	28.4773	0.996399
4.54	28.4773	-0.919495
4.545	28.4598	-0.305786
4.55	28.4773	-2.229
4.555	28.4773	1.7749
4.56	28.4598	0.826721
4.565	28.4424	-0.496826
4.57	28.4249	0.287476
4.575	28.3901	0.854187
4.58	28.3552	-0.26001
4.585	28.3203	-0.63385
4.59	28.3029	-0.256653
4.595	28.2854	1.492
4.6	28.268	-1.08307
4.605	28.268	-1.40991
4.61	28.2331	1.11481
4.615	28.2157	1.61652
4.62	28.1982	-0.275269
4.625	28.2157	-1.42487
4.63	28.2157	1.46576
4.635	28.2331	0.0579834
4.64	28.2157	-1.95709
4.645	28.2157	0.614624
4.65	28.2157	1.80511
4.655	28.2331	-0.161438
4.66	28.2331	-3.30322
4.665	28.2331	2.5473
4.67	28.2331	0.411072
4.675	28.2331	-0.411377
4.68	28.2157	0.460205
4.685	28.1982	-1.87988
4.69	28.1982	2.1109
4.695	28.1808	-0.424805
4.7	28.1634	-0.000915527
4.705	28.1459	-0.60791
4.71	28.1285	0.257568
4.715	28.1285	0.123291
4.72	28.111	-1.88141
4.725	28.0936	-1.42334
4.73	28.0587	3.09204
4.735	28.0239	0.448914
